Image Name,Mode,Channel,MEAN(x),MEAN(y),VAR(X),VAR(Y),"COV(X,Y)","Correlation(X,Y)"
01_Airplane.bmp,HD,R CHANNEL,177.54,177.52,1979.77,1979.46,1925.45,0.972638
01_Airplane.bmp,HD,G CHANNEL,177.80,178.20,2689.46,2630.51,2547.53,0.957784
01_Airplane.bmp,HD,B CHANNEL,190.17,190.20,1039.87,1038.86,1001.92,0.963978
01_Airplane.bmp,VD,R CHANNEL,177.83,177.63,1948.87,1977.73,1878.46,0.956813
01_Airplane.bmp,VD,G CHANNEL,177.96,177.86,2686.68,2690.98,2602.12,0.967753
01_Airplane.bmp,VD,B CHANNEL,190.48,190.20,1002.86,1040.84,955.59,0.935321
01_Airplane.bmp,DD,R CHANNEL,177.79,177.57,1949.93,1978.51,1835.18,0.934330
01_Airplane.bmp,DD,G CHANNEL,177.90,178.20,2689.00,2634.34,2482.12,0.932590
01_Airplane.bmp,DD,B CHANNEL,190.44,190.19,1003.68,1040.66,934.70,0.914579
01_Airplane_en.bmp,HD,R CHANNEL,127.52,127.52,5466.01,5466.68,6.26,0.001145
01_Airplane_en.bmp,HD,G CHANNEL,127.35,127.36,5471.19,5470.69,-26.71,-0.004882
01_Airplane_en.bmp,HD,B CHANNEL,127.42,127.43,5450.93,5451.60,5.34,0.000980
01_Airplane_en.bmp,VD,R CHANNEL,127.52,127.51,5467.02,5466.71,-0.06,-0.000011
01_Airplane_en.bmp,VD,G CHANNEL,127.37,127.36,5470.79,5470.49,8.52,0.001558
01_Airplane_en.bmp,VD,B CHANNEL,127.43,127.45,5450.97,5451.26,19.13,0.003509
01_Airplane_en.bmp,DD,R CHANNEL,127.53,127.52,5466.22,5466.62,-12.75,-0.002332
01_Airplane_en.bmp,DD,G CHANNEL,127.36,127.36,5470.90,5470.10,-4.88,-0.000893
01_Airplane_en.bmp,DD,B CHANNEL,127.42,127.44,5450.79,5451.77,2.46,0.000452
02_Baboon.bmp,HD,R CHANNEL,137.45,137.37,3082.90,3081.04,2844.86,0.923066
02_Baboon.bmp,HD,G CHANNEL,128.88,128.85,2284.30,2282.38,1976.18,0.865479
02_Baboon.bmp,HD,B CHANNEL,113.17,113.18,3810.84,3808.97,3456.89,0.907344
02_Baboon.bmp,VD,R CHANNEL,137.64,137.43,3054.66,3082.52,2657.25,0.865959
02_Baboon.bmp,VD,G CHANNEL,129.09,128.85,2259.25,2282.55,1737.23,0.765007
02_Baboon.bmp,VD,B CHANNEL,113.32,113.13,3793.51,3809.34,3348.64,0.880892
02_Baboon.bmp,DD,R CHANNEL,137.70,137.41,3057.36,3083.37,2623.11,0.854341
02_Baboon.bmp,DD,G CHANNEL,129.11,128.84,2261.51,2282.89,1669.59,0.734795
02_Baboon.bmp,DD,B CHANNEL,113.37,113.19,3797.57,3811.54,3195.27,0.839855
02_Baboon_en.bmp,HD,R CHANNEL,127.71,127.70,5437.23,5436.81,18.11,0.003331
02_Baboon_en.bmp,HD,G CHANNEL,127.73,127.74,5462.41,5461.84,10.30,0.001885
02_Baboon_en.bmp,HD,B CHANNEL,127.58,127.58,5467.48,5467.57,-2.24,-0.000409
02_Baboon_en.bmp,VD,R CHANNEL,127.71,127.71,5436.76,5437.13,-6.97,-0.001283
02_Baboon_en.bmp,VD,G CHANNEL,127.74,127.74,5462.53,5461.66,3.50,0.000640
02_Baboon_en.bmp,VD,B CHANNEL,127.58,127.58,5466.88,5467.19,-2.12,-0.000388
02_Baboon_en.bmp,DD,R CHANNEL,127.71,127.70,5436.52,5436.46,-13.05,-0.002401
02_Baboon_en.bmp,DD,G CHANNEL,127.73,127.74,5462.58,5461.17,1.27,0.000232
02_Baboon_en.bmp,DD,B CHANNEL,127.58,127.58,5467.06,5467.46,-4.97,-0.000908
03_Lena.bmp,HD,R CHANNEL,180.23,180.27,2405.19,2404.78,2356.34,0.979774
03_Lena.bmp,HD,G CHANNEL,99.03,99.12,2793.86,2796.32,2708.63,0.969067
03_Lena.bmp,HD,B CHANNEL,105.40,105.46,1159.70,1160.24,1081.95,0.932742
03_Lena.bmp,VD,R CHANNEL,180.24,180.18,2405.19,2408.64,2381.20,0.989316
03_Lena.bmp,VD,G CHANNEL,99.07,99.03,2796.92,2799.94,2749.44,0.982493
03_Lena.bmp,VD,B CHANNEL,105.42,105.42,1160.27,1161.83,1111.82,0.957605
03_Lena.bmp,DD,R CHANNEL,180.24,180.22,2404.57,2407.64,2333.18,0.969694
03_Lena.bmp,DD,G CHANNEL,99.05,99.10,2794.73,2800.22,2673.12,0.955546
03_Lena.bmp,DD,B CHANNEL,105.41,105.46,1160.02,1162.12,1066.19,0.918286
03_Lena_en.bmp,HD,R CHANNEL,127.47,127.48,5467.73,5467.67,-5.85,-0.001070
03_Lena_en.bmp,HD,G CHANNEL,127.18,127.16,5457.57,5456.91,-8.24,-0.001509
03_Lena_en.bmp,HD,B CHANNEL,127.46,127.44,5468.87,5469.46,1.47,0.000269
03_Lena_en.bmp,VD,R CHANNEL,127.47,127.47,5468.28,5467.59,-4.75,-0.000869
03_Lena_en.bmp,VD,G CHANNEL,127.17,127.17,5457.43,5457.22,13.90,0.002547
03_Lena_en.bmp,VD,B CHANNEL,127.45,127.45,5469.03,5470.38,-3.43,-0.000627
03_Lena_en.bmp,DD,R CHANNEL,127.47,127.48,5468.55,5467.82,19.35,0.003539
03_Lena_en.bmp,DD,G CHANNEL,127.17,127.16,5457.86,5456.93,-2.26,-0.000413
03_Lena_en.bmp,DD,B CHANNEL,127.46,127.44,5467.99,5469.94,-0.20,-0.000036
04_Peppers.bmp,HD,R CHANNEL,149.88,149.93,2040.68,2035.28,1963.64,0.963525
04_Peppers.bmp,HD,G CHANNEL,115.56,115.79,5631.04,5616.77,5517.71,0.981118
04_Peppers.bmp,HD,B CHANNEL,66.51,66.66,1961.27,1956.36,1893.23,0.966517
04_Peppers.bmp,VD,R CHANNEL,149.75,149.82,2041.72,2035.49,1969.97,0.966337
04_Peppers.bmp,VD,G CHANNEL,115.50,115.79,5630.90,5616.77,5521.33,0.981774
04_Peppers.bmp,VD,B CHANNEL,66.47,66.31,1958.12,1937.75,1882.51,0.966425
04_Peppers.bmp,DD,R CHANNEL,149.81,149.93,2041.67,2030.02,1947.03,0.956377
04_Peppers.bmp,DD,G CHANNEL,115.49,116.02,5630.00,5601.47,5439.71,0.968658
04_Peppers.bmp,DD,B CHANNEL,66.45,66.44,1958.22,1932.92,1843.96,0.947794
04_Peppers_en.bmp,HD,R CHANNEL,127.48,127.48,5455.51,5455.23,1.30,0.000238
04_Peppers_en.bmp,HD,G CHANNEL,127.69,127.70,5455.43,5456.19,-1.80,-0.000331
04_Peppers_en.bmp,HD,B CHANNEL,127.55,127.55,5461.94,5461.10,18.71,0.003426
04_Peppers_en.bmp,VD,R CHANNEL,127.47,127.47,5455.32,5455.88,-5.81,-0.001065
04_Peppers_en.bmp,VD,G CHANNEL,127.70,127.69,5456.59,5456.06,23.57,0.004320
04_Peppers_en.bmp,VD,B CHANNEL,127.54,127.55,5461.00,5459.92,3.49,0.000640
04_Peppers_en.bmp,DD,R CHANNEL,127.47,127.48,5454.84,5455.12,-18.31,-0.003357
04_Peppers_en.bmp,DD,G CHANNEL,127.70,127.70,5456.08,5456.30,0.92,0.000168
04_Peppers_en.bmp,DD,B CHANNEL,127.54,127.55,5461.55,5459.63,1.43,0.000263
05_Sailboat.bmp,HD,R CHANNEL,131.06,131.08,1831.50,1829.13,1749.40,0.955791
05_Sailboat.bmp,HD,G CHANNEL,124.34,124.55,6030.28,6008.82,5847.91,0.971488
05_Sailboat.bmp,HD,B CHANNEL,114.94,115.12,5905.77,5890.37,5727.25,0.971038
05_Sailboat.bmp,VD,R CHANNEL,131.01,131.00,1833.56,1826.23,1745.90,0.954103
05_Sailboat.bmp,VD,G CHANNEL,124.28,124.55,6030.01,6008.82,5816.30,0.966258
05_Sailboat.bmp,VD,B CHANNEL,114.88,114.86,5905.95,5914.22,5729.09,0.969376
05_Sailboat.bmp,DD,R CHANNEL,131.06,131.08,1833.65,1823.92,1722.69,0.941990
05_Sailboat.bmp,DD,G CHANNEL,124.32,124.79,6032.95,5990.17,5728.72,0.952957
05_Sailboat.bmp,DD,B CHANNEL,114.92,115.09,5907.02,5899.92,5625.76,0.952958
05_Sailboat_en.bmp,HD,R CHANNEL,127.43,127.43,5469.34,5469.05,-3.30,-0.000604
05_Sailboat_en.bmp,HD,G CHANNEL,127.55,127.56,5458.84,5459.41,3.81,0.000698
05_Sailboat_en.bmp,HD,B CHANNEL,127.79,127.79,5462.68,5462.73,-1.18,-0.000216
05_Sailboat_en.bmp,VD,R CHANNEL,127.41,127.44,5469.00,5469.86,6.67,0.001219
05_Sailboat_en.bmp,VD,G CHANNEL,127.56,127.56,5459.42,5459.50,7.02,0.001285
